Response ID,Date,study,cond,CHANGE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N,PRE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N
Over_Under,,,,,1,1,1,0,0,0,1,1,1,0,0,0,,1,1,1,0,0,0,1,1,1,0,0,0
Support_Against,,,,,1,1,1,1,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,0
Dem_Rep_Ind,,,,,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3
R_Q05BXFYLTih4gdr,1,2,2,,3,9,99,-3,17,0,-1,10,25,73,64,76,,66,69,1,74,66,79,80,41,58,27,36,0
R_3CMkUHMX39AaEEh,1,2,2,,72,40,70,-44,51,91,-13,-20,-78,-79,-56,67,,20,52,0,96,47,5,21,100,98,95,77,26
R_3r0rdSjMfShjDrW,1,2,2,,0,19,-4,32,-6,1,-37,-49,-77,-86,-58,-35,,68,77,91,58,26,80,54,87,94,91,81,45
R_3qO8NYlAEK2Tzni,1,2,2,,-100,100,-50,50,0,50,-50,0,0,-50,-100,-50,,100,0,50,50,100,50,50,0,100,50,100,50
R_0jNsb7e67hsl7Q5,1,2,2,,21,41,-5,4,-4,36,-67,-16,-50,-12,-74,-3,,31,51,90,87,98,51,83,55,98,51,83,7
R_1kFGFElge2HwZNT,1,2,1,,30,0,-100,0,0,-3,-36,-100,-69,-100,0,15,,70,100,100,100,100,85,36,100,100,100,0,10
R_22QzkNbwJOCQsLc,1,2,1,,47,-31,13,69,54,31,-27,5,5,5,12,-31,,37,43,27,14,34,4,34,7,26,0,25,37
R_6lmMwoGprABD4zf,1,2,2,,-39,69,76,2,56,47,-45,-71,-90,-85,-6,-18,,64,27,20,75,18,39,61,76,94,89,18,40
R_OBcf0a1DCCmoD85,1,2,2,,-15,-34,-32,26,-67,-8,-2,7,8,6,0,23,,100,34,55,34,80,74,67,63,92,94,100,67
R_1nZmWzDloL5PL2v,1,2,2,,1,1,0,1,0,3,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0
R_24AbtdrhFXEKamK,1,2,2,,-49,44,-8,-4,46,42,51,-47,-5,-2,-41,4,,74,39,77,85,32,32,32,74,88,25,77,28
R_2WV8fTPv7aDVLKm,1,2,2,,-14,-10,10,-24,60,-7,-10,29,-44,-2,10,49,,82,84,72,100,35,100,85,44,74,25,75,30
R_1M6beoBUtZfCxGY,1,2,1,,1,16,-10,-5,-4,14,-37,-27,-71,1,1,-7,,89,78,97,69,93,27,47,36,97,5,5,10
R_1CxtpmXCrdBubn5,1,2,2,,33,-23,-1,21,-13,8,0,-14,-52,-72,-79,-13,,31,100,93,63,83,72,36,28,86,80,81,38
R_27D92ba5mwi3uuZ,1,2,2,,9,9,24,-30,-45,34,-21,-17,-4,-15,20,30,,24,61,19,67,75,30,29,46,67,52,38,32
R_4J9JyyJCqs4Stmp,1,2,1,,29,50,-69,-22,15,9,-53,-41,-100,-53,-28,-3,,53,50,94,100,85,91,53,54,100,53,31,13
